'Betrayers of Kamigawa',11,'BOK'
'Born of the Gods',11,'BNG'
'Champions of Kamigawa',16,'CHK'
'Chronicles',14,'CH'
'Duel Decks: Elspeth vs. Kiora',10,'EVK'
'Duel Decks: Elves vs. Inventors',12,'EVI'
'Fifth Dawn',11,'FD'
'Fifth Edition',10,'5E'
'From the Vault: Annihilation',11,'V14'
'From the Vault: Exiled',12,'V09'
'Ice Age',9,'IA'
'Iconic Masters',15,'IMA'
'Ixalan Treasure Chest',9,'PXTC'
'Magic 2010 Core Set',16,'M10'
'Magic 2011 Core Set',15,'M11'
'Magic 2012 Core Set',11,'M12'
'Magic 2013 Core Set',10,'M13'
'Magic 2014 Core Set',15,'M14'
'Magic 2015 Core Set',10,'M15'
'Magic 2019 Core Set',11,'M19'
'Planechase 2012 Edition Planes and Phenomena',14,'PP2'
'Planeshift',12,'PS'
'Scars of Mirrodin',15,'SOM'
'Seventh Edition',9,'7E'
